seed,donor,outer_fold
7270,COMP_FFX_0001,1
7270,COMP_FFX_0006,1
7270,COMP_FFX_0013,1
7270,COMP_FFX_0016,1
7270,COMP_FFX_0022,1
7270,COMP_FFX_0026,1
7270,COMP_FFX_0031,1
7270,COMP_FFX_0036,1
7270,COMP_FFX_0002,2
7270,COMP_FFX_0008,2
7270,COMP_FFX_0015,2
7270,COMP_FFX_0017,2
7270,COMP_FFX_0021,2
7270,COMP_FFX_0028,2
7270,COMP_FFX_0032,2
7270,COMP_FFX_0040,2
7270,COMP_FFX_0004,3
7270,COMP_FFX_0009,3
7270,COMP_FFX_0014,3
7270,COMP_FFX_0018,3
7270,COMP_FFX_0023,3
7270,COMP_FFX_0027,3
7270,COMP_FFX_0033,3
7270,COMP_FFX_0038,3
7270,COMP_FFX_0005,4
7270,COMP_FFX_0010,4
7270,COMP_FFX_0011,4
7270,COMP_FFX_0019,4
7270,COMP_FFX_0024,4
7270,COMP_FFX_0029,4
7270,COMP_FFX_0035,4
7270,COMP_FFX_0039,4
7270,COMP_FFX_0003,5
7270,COMP_FFX_0007,5
7270,COMP_FFX_0012,5
7270,COMP_FFX_0020,5
7270,COMP_FFX_0025,5
7270,COMP_FFX_0030,5
7270,COMP_FFX_0034,5
7270,COMP_FFX_0037,5
860,COMP_FFX_0001,1
860,COMP_FFX_0006,1
860,COMP_FFX_0013,1
860,COMP_FFX_0017,1
860,COMP_FFX_0021,1
860,COMP_FFX_0026,1
860,COMP_FFX_0032,1
860,COMP_FFX_0038,1
860,COMP_FFX_0003,2
860,COMP_FFX_0008,2
860,COMP_FFX_0015,2
860,COMP_FFX_0018,2
860,COMP_FFX_0023,2
860,COMP_FFX_0027,2
860,COMP_FFX_0033,2
860,COMP_FFX_0036,2
860,COMP_FFX_0004,3
860,COMP_FFX_0009,3
860,COMP_FFX_0011,3
860,COMP_FFX_0019,3
860,COMP_FFX_0022,3
860,COMP_FFX_0028,3
860,COMP_FFX_0034,3
860,COMP_FFX_0040,3
860,COMP_FFX_0005,4
860,COMP_FFX_0007,4
860,COMP_FFX_0014,4
860,COMP_FFX_0016,4
860,COMP_FFX_0025,4
860,COMP_FFX_0029,4
860,COMP_FFX_0035,4
860,COMP_FFX_0039,4
860,COMP_FFX_0002,5
860,COMP_FFX_0010,5
860,COMP_FFX_0012,5
860,COMP_FFX_0020,5
860,COMP_FFX_0024,5
860,COMP_FFX_0030,5
860,COMP_FFX_0031,5
860,COMP_FFX_0037,5
5390,COMP_FFX_0001,1
5390,COMP_FFX_0006,1
5390,COMP_FFX_0011,1
5390,COMP_FFX_0017,1
5390,COMP_FFX_0023,1
5390,COMP_FFX_0027,1
5390,COMP_FFX_0031,1
5390,COMP_FFX_0038,1
5390,COMP_FFX_0002,2
5390,COMP_FFX_0007,2
5390,COMP_FFX_0012,2
5390,COMP_FFX_0016,2
5390,COMP_FFX_0024,2
5390,COMP_FFX_0026,2
5390,COMP_FFX_0034,2
5390,COMP_FFX_0036,2
5390,COMP_FFX_0003,3
5390,COMP_FFX_0008,3
5390,COMP_FFX_0013,3
5390,COMP_FFX_0018,3
5390,COMP_FFX_0025,3
5390,COMP_FFX_0028,3
5390,COMP_FFX_0032,3
5390,COMP_FFX_0040,3
5390,COMP_FFX_0004,4
5390,COMP_FFX_0009,4
5390,COMP_FFX_0014,4
5390,COMP_FFX_0019,4
5390,COMP_FFX_0021,4
5390,COMP_FFX_0029,4
5390,COMP_FFX_0033,4
