seed,donor,outer_fold
7270,COMP_GNP_0001,1
7270,COMP_GNP_0006,1
7270,COMP_GNP_0013,1
7270,COMP_GNP_0016,1
7270,COMP_GNP_0021,1
7270,COMP_GNP_0026,1
7270,COMP_GNP_0032,1
7270,COMP_GNP_0036,1
7270,COMP_GNP_0002,2
7270,COMP_GNP_0007,2
7270,COMP_GNP_0014,2
7270,COMP_GNP_0017,2
7270,COMP_GNP_0022,2
7270,COMP_GNP_0027,2
7270,COMP_GNP_0034,2
7270,COMP_GNP_0038,2
7270,COMP_GNP_0003,3
7270,COMP_GNP_0008,3
7270,COMP_GNP_0011,3
7270,COMP_GNP_0018,3
7270,COMP_GNP_0023,3
7270,COMP_GNP_0029,3
7270,COMP_GNP_0033,3
7270,COMP_GNP_0039,3
7270,COMP_GNP_0004,4
7270,COMP_GNP_0009,4
7270,COMP_GNP_0012,4
7270,COMP_GNP_0019,4
7270,COMP_GNP_0024,4
7270,COMP_GNP_0030,4
7270,COMP_GNP_0031,4
7270,COMP_GNP_0037,4
7270,COMP_GNP_0005,5
7270,COMP_GNP_0010,5
7270,COMP_GNP_0015,5
7270,COMP_GNP_0020,5
7270,COMP_GNP_0025,5
7270,COMP_GNP_0028,5
7270,COMP_GNP_0035,5
7270,COMP_GNP_0040,5
860,COMP_GNP_0001,1
860,COMP_GNP_0006,1
860,COMP_GNP_0011,1
860,COMP_GNP_0017,1
860,COMP_GNP_0021,1
860,COMP_GNP_0027,1
860,COMP_GNP_0032,1
860,COMP_GNP_0037,1
860,COMP_GNP_0002,2
860,COMP_GNP_0008,2
860,COMP_GNP_0012,2
860,COMP_GNP_0018,2
860,COMP_GNP_0023,2
860,COMP_GNP_0029,2
860,COMP_GNP_0033,2
860,COMP_GNP_0036,2
860,COMP_GNP_0004,3
860,COMP_GNP_0009,3
860,COMP_GNP_0014,3
860,COMP_GNP_0019,3
860,COMP_GNP_0022,3
860,COMP_GNP_0030,3
860,COMP_GNP_0034,3
860,COMP_GNP_0038,3
860,COMP_GNP_0003,4
860,COMP_GNP_0010,4
860,COMP_GNP_0013,4
860,COMP_GNP_0020,4
860,COMP_GNP_0024,4
860,COMP_GNP_0028,4
860,COMP_GNP_0035,4
860,COMP_GNP_0039,4
860,COMP_GNP_0005,5
860,COMP_GNP_0007,5
860,COMP_GNP_0015,5
860,COMP_GNP_0016,5
860,COMP_GNP_0025,5
860,COMP_GNP_0026,5
860,COMP_GNP_0031,5
860,COMP_GNP_0040,5
5390,COMP_GNP_0001,1
5390,COMP_GNP_0006,1
5390,COMP_GNP_0014,1
5390,COMP_GNP_0016,1
5390,COMP_GNP_0021,1
5390,COMP_GNP_0026,1
5390,COMP_GNP_0031,1
5390,COMP_GNP_0036,1
5390,COMP_GNP_0002,2
5390,COMP_GNP_0007,2
5390,COMP_GNP_0011,2
5390,COMP_GNP_0017,2
5390,COMP_GNP_0022,2
5390,COMP_GNP_0027,2
5390,COMP_GNP_0034,2
5390,COMP_GNP_0038,2
5390,COMP_GNP_0003,3
5390,COMP_GNP_0008,3
5390,COMP_GNP_0012,3
5390,COMP_GNP_0018,3
5390,COMP_GNP_0023,3
