seed,donor,outer_fold
7270,COMP_0001,1
7270,COMP_0008,1
7270,COMP_0011,1
7270,COMP_0016,1
7270,COMP_0022,1
7270,COMP_0026,1
7270,COMP_0032,1
7270,COMP_0037,1
7270,COMP_0041,1
7270,COMP_0048,1
7270,COMP_0051,1
7270,COMP_0057,1
7270,COMP_0062,1
7270,COMP_0066,1
7270,COMP_0071,1
7270,COMP_0078,1
7270,COMP_0002,2
7270,COMP_0009,2
7270,COMP_0012,2
7270,COMP_0017,2
7270,COMP_0023,2
7270,COMP_0027,2
7270,COMP_0033,2
7270,COMP_0036,2
7270,COMP_0042,2
7270,COMP_0046,2
7270,COMP_0053,2
7270,COMP_0056,2
7270,COMP_0064,2
7270,COMP_0067,2
7270,COMP_0072,2
7270,COMP_0080,2
7270,COMP_0003,3
7270,COMP_0006,3
7270,COMP_0013,3
7270,COMP_0018,3
7270,COMP_0024,3
7270,COMP_0029,3
7270,COMP_0034,3
7270,COMP_0040,3
7270,COMP_0043,3
7270,COMP_0047,3
7270,COMP_0054,3
7270,COMP_0059,3
7270,COMP_0061,3
7270,COMP_0069,3
7270,COMP_0073,3
7270,COMP_0076,3
7270,COMP_0004,4
7270,COMP_0007,4
7270,COMP_0014,4
7270,COMP_0019,4
7270,COMP_0021,4
7270,COMP_0028,4
7270,COMP_0035,4
7270,COMP_0039,4
7270,COMP_0044,4
7270,COMP_0049,4
7270,COMP_0052,4
7270,COMP_0058,4
7270,COMP_0065,4
7270,COMP_0068,4
7270,COMP_0074,4
7270,COMP_0077,4
7270,COMP_0005,5
7270,COMP_0010,5
7270,COMP_0015,5
7270,COMP_0020,5
7270,COMP_0025,5
7270,COMP_0030,5
7270,COMP_0031,5
7270,COMP_0038,5
7270,COMP_0045,5
7270,COMP_0050,5
7270,COMP_0055,5
7270,COMP_0060,5
7270,COMP_0063,5
7270,COMP_0070,5
7270,COMP_0075,5
7270,COMP_0079,5
860,COMP_0002,1
860,COMP_0007,1
860,COMP_0011,1
860,COMP_0016,1
860,COMP_0021,1
860,COMP_0026,1
860,COMP_0031,1
860,COMP_0038,1
860,COMP_0041,1
860,COMP_0046,1
860,COMP_0051,1
860,COMP_0057,1
860,COMP_0061,1
860,COMP_0066,1
860,COMP_0073,1
860,COMP_0076,1
860,COMP_0003,2
860,COMP_0008,2
860,COMP_0012,2
860,COMP_0017,2
860,COMP_0022,2
860,COMP_0027,2
860,COMP_0034,2
860,COMP_0037,2
860,COMP_0044,2
860,COMP_0047,2
860,COMP_0053,2
860,COMP_0058,2
860,COMP_0062,2
860,COMP_0067,2
860,COMP_0074,2
860,COMP_0077,2
860,COMP_0001,3
860,COMP_0006,3
860,COMP_0013,3
860,COMP_0019,3
860,COMP_0024,3
860,COMP_0028,3
860,COMP_0032,3
860,COMP_0039,3
860,COMP_0042,3
860,COMP_0048,3
860,COMP_0052,3
860,COMP_0059,3
860,COMP_0063,3
860,COMP_0068,3
860,COMP_0075,3
860,COMP_0078,3
860,COMP_0004,4
860,COMP_0009,4
860,COMP_0014,4
860,COMP_0020,4
860,COMP_0023,4
860,COMP_0029,4
860,COMP_0035,4
860,COMP_0036,4
860,COMP_0045,4
860,COMP_0049,4
860,COMP_0055,4
860,COMP_0056,4
860,COMP_0064,4
860,COMP_0069,4
860,COMP_0071,4
860,COMP_0079,4
860,COMP_0005,5
860,COMP_0010,5
860,COMP_0015,5
860,COMP_0018,5
860,COMP_0025,5
860,COMP_0030,5
860,COMP_0033,5
860,COMP_0040,5
860,COMP_0043,5
860,COMP_0050,5
860,COMP_0054,5
860,COMP_0060,5
860,COMP_0065,5
860,COMP_0070,5
860,COMP_0072,5
860,COMP_0080,5
5390,COMP_0002,1
5390,COMP_0006,1
5390,COMP_0011,1
5390,COMP_0016,1
5390,COMP_0021,1
5390,COMP_0026,1
5390,COMP_0032,1
5390,COMP_0036,1
5390,COMP_0041,1
5390,COMP_0047,1
5390,COMP_0052,1
5390,COMP_0056,1
5390,COMP_0061,1
5390,COMP_0067,1
5390,COMP_0074,1
5390,COMP_0076,1
5390,COMP_0003,2
5390,COMP_0007,2
5390,COMP_0012,2
5390,COMP_0018,2
5390,COMP_0022,2
5390,COMP_0028,2
5390,COMP_0033,2
5390,COMP_0038,2
5390,COMP_0043,2
5390,COMP_0048,2
5390,COMP_0051,2
5390,COMP_0057,2
5390,COMP_0063,2
5390,COMP_0068,2
5390,COMP_0071,2
5390,COMP_0078,2
5390,COMP_0001,3
5390,COMP_0008,3
5390,COMP_0014,3
5390,COMP_0017,3
5390,COMP_0023,3
5390,COMP_0029,3
5390,COMP_0034,3
5390,COMP_0039,3
5390,COMP_0045,3
5390,COMP_0046,3
5390,COMP_0055,3
5390,COMP_0058,3
5390,COMP_0062,3
5390,COMP_0069,3
5390,COMP_0072,3
5390,COMP_0079,3
5390,COMP_0004,4
5390,COMP_0009,4
5390,COMP_0013,4
5390,COMP_0019,4
5390,COMP_0024,4
5390,COMP_0027,4
5390,COMP_0031,4
5390,COMP_0037,4
5390,COMP_0042,4
5390,COMP_0049,4
5390,COMP_0053,4
5390,COMP_0059,4
5390,COMP_0064,4
5390,COMP_0066,4
5390,COMP_0075,4
5390,COMP_0077,4
5390,COMP_0005,5
5390,COMP_0010,5
5390,COMP_0015,5
5390,COMP_0020,5
5390,COMP_0025,5
5390,COMP_0030,5
5390,COMP_0035,5
5390,COMP_0040,5
5390,COMP_0044,5
5390,COMP_0050,5
5390,COMP_0054,5
5390,COMP_0060,5
5390,COMP_0065,5
5390,COMP_0070,5
5390,COMP_0073,5
5390,COMP_0080,5
5191,COMP_0001,1
5191,COMP_0006,1
5191,COMP_0011,1
5191,COMP_0016,1
5191,COMP_0022,1
5191,COMP_0026,1
5191,COMP_0031,1
5191,COMP_0037,1
5191,COMP_0041,1
5191,COMP_0046,1
5191,COMP_0054,1
5191,COMP_0056,1
5191,COMP_0061,1
5191,COMP_0066,1
5191,COMP_0073,1
5191,COMP_0078,1
5191,COMP_0002,2
5191,COMP_0007,2
5191,COMP_0014,2
5191,COMP_0018,2
5191,COMP_0023,2
5191,COMP_0027,2
5191,COMP_0033,2
5191,COMP_0036,2
5191,COMP_0043,2
5191,COMP_0047,2
5191,COMP_0055,2
5191,COMP_0057,2
5191,COMP_0063,2
5191,COMP_0067,2
5191,COMP_0071,2
5191,COMP_0076,2
5191,COMP_0003,3
5191,COMP_0008,3
5191,COMP_0012,3
5191,COMP_0017,3
5191,COMP_0024,3
5191,COMP_0028,3
5191,COMP_0034,3
5191,COMP_0038,3
5191,COMP_0044,3
5191,COMP_0048,3
5191,COMP_0051,3
5191,COMP_0058,3
5191,COMP_0064,3
5191,COMP_0068,3
5191,COMP_0074,3
5191,COMP_0079,3
5191,COMP_0004,4
5191,COMP_0009,4
5191,COMP_0013,4
5191,COMP_0019,4
5191,COMP_0021,4
5191,COMP_0029,4
5191,COMP_0032,4
5191,COMP_0039,4
5191,COMP_0045,4
5191,COMP_0049,4
5191,COMP_0052,4
5191,COMP_0059,4
5191,COMP_0065,4
5191,COMP_0069,4
5191,COMP_0075,4
5191,COMP_0077,4
5191,COMP_0005,5
5191,COMP_0010,5
5191,COMP_0015,5
5191,COMP_0020,5
5191,COMP_0025,5
5191,COMP_0030,5
5191,COMP_0035,5
5191,COMP_0040,5
5191,COMP_0042,5
5191,COMP_0050,5
5191,COMP_0053,5
5191,COMP_0060,5
5191,COMP_0062,5
5191,COMP_0070,5
5191,COMP_0072,5
5191,COMP_0080,5
5734,COMP_0001,1
5734,COMP_0006,1
5734,COMP_0011,1
5734,COMP_0016,1
5734,COMP_0023,1
5734,COMP_0028,1
5734,COMP_0031,1
5734,COMP_0037,1
5734,COMP_0041,1
5734,COMP_0046,1
5734,COMP_0051,1
5734,COMP_0058,1
5734,COMP_0062,1
5734,COMP_0067,1
5734,COMP_0072,1
5734,COMP_0076,1
5734,COMP_0002,2
5734,COMP_0007,2
5734,COMP_0012,2
5734,COMP_0017,2
5734,COMP_0024,2
5734,COMP_0029,2
5734,COMP_0033,2
5734,COMP_0036,2
5734,COMP_0042,2
5734,COMP_0049,2
5734,COMP_0052,2
5734,COMP_0056,2
5734,COMP_0063,2
5734,COMP_0068,2
5734,COMP_0073,2
5734,COMP_0079,2
5734,COMP_0003,3
5734,COMP_0008,3
5734,COMP_0013,3
5734,COMP_0020,3
5734,COMP_0025,3
5734,COMP_0026,3
5734,COMP_0034,3
5734,COMP_0038,3
5734,COMP_0043,3
5734,COMP_0050,3
5734,COMP_0053,3
5734,COMP_0059,3
5734,COMP_0061,3
5734,COMP_0069,3
5734,COMP_0074,3
5734,COMP_0077,3
5734,COMP_0004,4
5734,COMP_0009,4
5734,COMP_0014,4
5734,COMP_0021,4
5734,COMP_0022,4
5734,COMP_0027,4
5734,COMP_0032,4
5734,COMP_0039,4
5734,COMP_0044,4
5734,COMP_0047,4
5734,COMP_0054,4
5734,COMP_0057,4
5734,COMP_0064,4
5734,COMP_0070,4
5734,COMP_0071,4
5734,COMP_0080,4
5734,COMP_0005,5
5734,COMP_0010,5
5734,COMP_0015,5
5734,COMP_0018,5
5734,COMP_0019,5
5734,COMP_0030,5
5734,COMP_0035,5
5734,COMP_0040,5
5734,COMP_0045,5
5734,COMP_0048,5
5734,COMP_0055,5
5734,COMP_0060,5
5734,COMP_0065,5
5734,COMP_0066,5
5734,COMP_0075,5
5734,COMP_0078,5
6265,COMP_0002,1
6265,COMP_0006,1
6265,COMP_0013,1
6265,COMP_0016,1
